Game Console,Company,Console Type,Release Year,Units Sold
PlayStation 2,Sony,Home Console,2000,155
Nintendo DS,Nintendo,Handheld Console,2004,154.02
Game Boy Game Boy Color,Nintendo,Handheld Console,1989,118.69
PlayStation,Sony,Home Console,1994,102.49
Wii,Nintendo,Home Console,2006,101.63
Xbox 360,Microsoft,Home Console,2005,84
PlayStation 3,Sony,Home Console,2006,83.8
PlayStation Portable,Sony,Handheld Console,2004,82
Game Boy Advance,Nintendo,Handheld Console,2001,81.51
Nintendo 3DS,Nintendo,Handheld Console,2011,68.98
PlayStation 4,Sony,Home Console,2013,67.5
Nintendo Entertainment System,Nintendo,Home Console,1983,61.91
Super Nintendo Entertainment System,Nintendo,Home Console,1990,49.1
Nintendo 64,Nintendo,Home Console,1996,32.93
Sega Genesis,Sega,Home Console,1988,30.75
Atari 2600,Atari,Home Console,1977,30
Xbox One,Microsoft,Home Console,2013,30
Xbox,Microsoft,Home Console,2001,24
GameCube,Nintendo,Home Console,2001,21.74
PlayStation Vita,Sony,Handheld Console,2011,15
Wii U,Nintendo,Home Console,2012,13.56
Master System,Sega,Home Console,1986,13
Sega Game Gear,Sega,Handheld Console,1990,10.62
TurboGrafx-16,NEC,Home Console,1987,10
Sega Saturn,Sega,Home Console,1994,9.26
Dreamcast,Sega,Home Console,1998,9.13
Nintendo Switch,Nintendo,Home Console,2017,7.63
Nintendo Switch,Nintendo,Handheld Console,2017,7.63
Sega Pico,Sega,Home Console,1993,4
WonderSwan,Bandai,Handheld Console,1999,3.5
Color TV Game,Nintendo,Home Console,1977,3
Intellivision,Mattel,Home Console,1980,3
N-Gage,Nokia,Handheld Console,2003,3
ColecoVision,Coleco,Home Console,1982,2
Magnavox Odyssey²,Magnavox/Philips,Home Console,1978,2
Philips CD-i,Philips,Home Console,1991,1
Telstar,Coleco,Home Console,1976,1
Atari 5200,Atari,Home Console,1982,1
Atari Lynx,Atari,Handheld Console,1989,1
